"ID","Salmean"
164,34.916676
165,34.916676
166,34.916676
167,34.916676
168,34.916676
169,34.916676
170,34.916676
171,34.916676
172,34.916676
173,34.916676
174,34.916676
175,34.916676
176,34.916676
177,34.916676
178,34.916676
179,34.916676
180,34.916676
181,34.916676
182,34.916676
183,34.916676
184,34.916676
185,34.916676
186,34.916676
187,34.916676
188,34.916676
189,34.916676
190,34.916676
191,34.916676
192,34.916676
193,34.916676
194,34.916676
195,34.916676
196,34.916676
197,34.916676
198,34.916676
199,34.919437
200,34.919437
201,34.919437
202,34.919437
203,34.919437
204,34.919437
205,34.919437
206,34.919437
207,34.919437
208,34.919437
209,34.919437
210,34.919437
211,34.919437
212,34.926346
213,34.926346
214,34.926346
215,34.926346
216,34.926346
217,34.926109
218,34.926109
219,34.926109
220,34.926109
221,34.926109
222,34.926109
223,34.926109
224,34.926109
225,34.926109
226,34.926109
227,34.926109
228,34.926109
229,34.926109
230,34.926109
231,34.926109
232,34.926109
233,34.926109
234,34.926109
235,34.926109
236,34.926109
237,34.926109
238,34.926109
239,34.926109
240,34.926109
241,34.926109
242,34.926109
243,34.926109
244,34.926109
245,34.926109
246,34.926109
247,34.926109
248,34.926109
249,34.926949
250,34.926949
251,34.926949
252,34.926949
253,34.926949
254,34.926949
255,34.926949
256,34.92635
257,34.92635
258,34.92635
259,34.92635
260,34.92635
261,34.92635
262,34.92635
263,34.92635
264,34.92635
265,34.92635
266,34.92635
267,34.92635
268,34.92635
269,34.92635
270,34.92635
271,34.92635
272,34.92635
273,34.92635
274,34.92635
275,34.92635
276,34.92635
277,34.92635
278,34.92635
279,34.92635
280,34.92635
281,34.92635
282,34.92635
283,34.92635
284,34.92635
285,34.92445
286,34.92445
287,34.92445
288,34.92445
289,34.92445
290,34.92445
291,34.896004
292,34.896004
293,34.896004
294,34.896004
295,34.896004
296,34.896004
297,34.896004
298,34.896004
299,34.896004
300,34.896004
301,34.896004
302,34.896004
303,34.896004
304,34.929367
305,34.929367
306,34.929367
307,34.929367
308,34.929367
309,34.929367
310,34.929367
311,34.929367
312,34.929367
313,34.929367
314,34.929367
315,34.929367
316,34.929367
317,34.928738
318,34.925762
319,34.916031
320,34.916031
321,34.92149
322,34.923435
323,34.923435
324,34.923435
325,34.923435
326,34.923435
327,34.923435
328,34.923435
329,34.923435
330,34.923435
331,34.923435
332,34.923435
333,34.920971
334,34.926949
335,34.926949
336,34.926949
337,34.926949
338,34.926949
339,34.926949
340,34.926949
341,34.926949
342,34.926949
343,34.926949
344,34.926949
345,34.926949
346,34.926949
347,34.926949
348,34.926949
349,34.926949
350,34.926949
351,34.926949
352,34.926949
353,34.926949
354,34.92635
355,34.92635
356,34.926949
357,34.926949
358,34.926949
359,34.926949
360,34.9277
361,34.9277
362,34.9277
363,34.9277
364,34.9277
365,34.9277
366,34.9277
367,34.9277
368,34.9277
369,34.9277
370,34.9277
371,34.9277
372,34.9277
373,34.9277
374,34.9277
375,34.9277
376,34.9277
377,34.9277
378,34.9277
379,34.9277
380,34.9277
381,34.9277
382,34.9277
383,34.9277
384,34.9277
385,34.9277
386,34.923824
387,34.923824
388,34.923824
389,34.923824
390,34.923824
391,34.923824
392,34.923824
393,34.923824
394,34.923824
395,34.923824
396,34.923824
397,34.923824
398,34.923824
399,34.923824
400,34.923824
401,34.923824
402,34.923824
403,34.923824
404,34.923504
405,34.923504
406,34.923504
407,34.92635
408,34.92635
409,34.92635
410,34.926109
411,34.926109
412,34.926109
413,34.926109
414,34.926109
415,34.926109
416,34.92284
417,34.923542
418,34.923542
419,34.923542
420,34.923542
421,34.923542
422,34.923542
423,34.923542
424,34.923542
425,34.923542
426,34.923542
427,34.923542
428,34.923542
429,34.923542
430,34.923542
431,34.923542
432,34.923542
433,34.923542
434,34.923542
435,34.923542
436,34.923542
437,34.923542
438,34.923542
439,34.923542
440,34.923542
441,34.923542
442,34.923542
443,34.923542
444,34.923542
445,34.923542
446,34.923542
447,34.923542
448,34.923542
449,34.923542
450,34.92284
451,34.92284
452,34.92284
453,34.92284
454,34.92284
455,34.92284
456,34.92284
457,34.92284
458,34.92284
459,34.92284
460,34.92284
461,34.92284
462,34.92284
463,34.92284
464,34.92284
465,34.92284
466,34.92284
467,34.92284
468,34.92284
469,34.92284
470,34.92284
471,34.92284
472,34.92284
473,34.92284
474,34.92284
475,34.92284
476,34.92284
477,34.92284
478,34.92284
479,34.92284
480,34.92284
481,34.921085
482,34.921085
483,34.921085
484,34.921085
485,34.921085
486,34.921085
487,34.921085
488,34.921085
489,34.921085
490,34.921085
491,34.921085
492,34.921085
493,34.921085
494,34.921085
495,34.921085
496,34.921085
497,34.921085
498,34.921085
499,34.896004
500,34.896004
501,34.896004
502,34.896004
503,34.896004
504,34.896004
505,34.89576
506,34.896004
507,34.896004
508,34.896004
509,34.896004
510,34.896004
511,34.896004
512,34.896004
513,34.896004
514,34.896004
515,34.896004
516,34.896004
517,34.896004
518,34.896004
519,34.929367
520,34.929367
521,34.925762
522,34.89576
523,34.89576
524,34.92149
525,34.89576
526,34.896004
527,34.92149
528,34.92149
529,34.92149
530,34.89576
531,34.89576
532,34.89576
533,34.923504
534,33.413239
535,33.413239
536,33.410797
537,33.410797
538,33.410797
539,33.410797
540,33.410797
541,33.410797
542,33.410797
543,33.410797
544,33.410797
545,33.410797
546,33.410797
547,33.410797
548,33.410797
549,33.410797
550,33.410797
551,33.410797
552,33.410797
553,33.410797
554,33.410797
555,33.410797
556,33.413239
557,33.413239
558,33.413239
559,33.413239
560,33.413239
561,33.413239
562,33.413239
563,33.410797
564,33.410797
565,33.410797
566,33.410797
567,34.874287
568,34.874287
569,34.874287
570,34.874287
571,34.874287
572,34.874287
573,34.874287
574,34.909405
575,34.90712
576,34.90712
577,34.90712
578,34.90712
579,34.90712
580,34.90712
581,34.90712
582,34.90712
583,34.90712
584,34.90712
585,34.885296
586,34.885296
587,34.885296
588,34.885296
589,34.885296
590,34.885296
591,34.885296
592,34.885296
593,34.885296
594,34.885296
595,34.885296
596,34.885296
597,34.885296
598,34.885296
599,34.885296
600,34.90712
601,34.885296
602,34.885296
603,34.885296
604,34.885296
605,34.885296
606,34.90712
607,34.885296
608,34.885296
609,34.885296
610,34.90712
611,34.90712
612,34.90712
613,34.90712
614,34.885296
615,34.885296
616,34.885296
617,34.90712
618,34.90712
619,34.885296
620,34.90712
621,34.90712
622,34.90712
623,34.90712
624,34.885296
625,34.90712
626,34.90712
627,34.90712
628,34.90712
629,34.90712
630,34.90712
631,34.885296
632,34.885296
633,34.90712
634,34.90712
635,34.885296
636,34.885296
637,34.841129
638,34.836884
639,34.841129
640,34.841129
641,34.841129
642,34.836884
643,34.836884
644,34.836884
645,34.836884
646,34.836884
647,34.836884
648,34.841129
649,34.836884
650,34.836884
651,34.836884
652,34.841129
653,34.836884
654,34.841129
655,34.841129
656,34.841129
657,34.841129
658,34.836884
659,34.836884
660,34.836884
661,34.841129
662,34.841129
663,34.841129
664,34.841129
665,34.836884
666,34.841129
667,34.836884
668,34.841129
669,34.841129
670,34.836884
671,34.841129
672,34.838284
673,34.838284
674,34.838284
675,34.838284
676,34.841129
677,34.838284
678,34.838284
679,34.841129
680,34.841129
681,34.841129
682,34.841129
683,34.838284
684,34.841129
685,34.842518
686,34.838284
687,34.841129
688,34.841129
689,34.841129
690,34.841129
691,34.836884
692,34.836884
693,34.841129
694,34.836884
695,34.841129
696,34.841129
697,34.836884
698,34.841129
699,34.836884
700,34.841129
701,34.836884
702,34.836884
703,34.836884
704,34.841129
705,34.841129
706,34.836884
707,34.836884
708,34.836884
