"ID","Y","X","Year_HGU","BO2_tempmax_bdmean","X.1","Y.1","optional"
12766,61.329284,5.135236,2012,13.3339967727661,5.135236,61.329284,TRUE
12767,61.3294229999999,5.135592,2012,13.3339967727661,5.135592,61.3294229999999,TRUE
12768,61.32947,5.135822,2012,13.3339967727661,5.135822,61.32947,TRUE
12769,61.32947,5.135855,2012,13.3339967727661,5.135855,61.32947,TRUE
12770,61.3294709999999,5.135854,2012,13.3339967727661,5.135854,61.3294709999999,TRUE
12771,61.3296289999999,5.1359,2012,13.3339967727661,5.1359,61.3296289999999,TRUE
12772,61.3296909999999,5.135772,2012,13.3339967727661,5.135772,61.3296909999999,TRUE
12773,61.3296029999999,5.135726,2012,13.3339967727661,5.135726,61.3296029999999,TRUE
12774,61.3297669999999,5.136332,2012,13.3339967727661,5.136332,61.3297669999999,TRUE
12775,61.329773,5.136571,2012,13.3339967727661,5.136571,61.329773,TRUE
12776,61.3298289999999,5.136849,2012,13.3339967727661,5.136849,61.3298289999999,TRUE
12777,61.3297439999999,5.137055,2012,13.3339967727661,5.137055,61.3297439999999,TRUE
12778,61.329745,5.137283,2012,13.3339967727661,5.137283,61.329745,TRUE
12809,61.0438029999999,5.324929,2012,1.57038903236389,5.324929,61.0438029999999,TRUE
12810,61.043751,5.324752,2012,1.57038903236389,5.324752,61.043751,TRUE
12811,61.0428769999999,5.326421,2012,1.57038903236389,5.326421,61.0428769999999,TRUE
12812,61.0431859999999,5.325781,2012,1.57038903236389,5.325781,61.0431859999999,TRUE
12813,61.0302879999999,5.377247,2012,-0.0395877733826637,5.377247,61.0302879999999,TRUE
12814,61.032085,5.374966,2012,-0.0395877733826637,5.374966,61.032085,TRUE
12815,61.0322419999999,5.37394,2012,-0.0395877733826637,5.37394,61.0322419999999,TRUE
12816,61.175376,6.644578,2012,1.75574445724487,6.644578,61.175376,TRUE
12817,61.175314,6.64435,2012,1.75574445724487,6.64435,61.175314,TRUE
12818,61.175203,6.644356,2012,1.75574445724487,6.644356,61.175203,TRUE
12819,61.1747439999999,6.646627,2012,1.75574445724487,6.646627,61.1747439999999,TRUE
12820,61.1749119999999,6.64676,2012,1.75574445724487,6.64676,61.1749119999999,TRUE
12821,61.174916,6.646112,2012,1.75574445724487,6.646112,61.174916,TRUE
12822,61.1748679999999,6.645846,2012,1.75574445724487,6.645846,61.1748679999999,TRUE
12823,61.1747629999999,6.64586,2012,1.75574445724487,6.64586,61.1747629999999,TRUE
12824,61.191482,6.701911,2012,-0.335552006959915,6.701911,61.191482,TRUE
12825,61.19144,6.702064,2012,-0.335552006959915,6.702064,61.19144,TRUE
12826,61.191488,6.702164,2012,-0.335552006959915,6.702164,61.191488,TRUE
12827,61.1915339999999,6.702253,2012,-0.335552006959915,6.702253,61.1915339999999,TRUE
12828,61.190849,6.702747,2012,-0.335552006959915,6.702747,61.190849,TRUE
12829,61.1908049999999,6.703114,2012,-0.335552006959915,6.703114,61.1908049999999,TRUE
12830,61.1838839999999,6.70965,2012,-0.335552006959915,6.70965,61.1838839999999,TRUE
12831,61.1839489999999,6.709925,2012,-0.335552006959915,6.709925,61.1839489999999,TRUE
12832,61.1839749999999,6.710057,2012,-0.335552006959915,6.710057,61.1839749999999,TRUE
12833,61.183978,6.71009,2012,-0.335552006959915,6.71009,61.183978,TRUE
12834,61.182614,6.712002,2012,-0.335552006959915,6.712002,61.182614,TRUE
12835,61.182605,6.712126,2012,-0.335552006959915,6.712126,61.182605,TRUE
12836,61.182574,6.713189,2012,-0.335552006959915,6.713189,61.182574,TRUE
12837,61.1515059999999,6.714995,2012,0.608941793441772,6.714995,61.1515059999999,TRUE
12838,61.151423,6.715201,2012,0.608941793441772,6.715201,61.151423,TRUE
12839,61.1514209999999,6.715198,2012,0.608941793441772,6.715198,61.1514209999999,TRUE
12840,61.151415,6.715198,2012,0.608941793441772,6.715198,61.151415,TRUE
12841,61.1513569999999,6.712128,2012,0.608941793441772,6.712128,61.1513569999999,TRUE
12842,61.155486,6.687107,2012,0.608941793441772,6.687107,61.155486,TRUE
12843,61.155368,6.687194,2012,0.608941793441772,6.687194,61.155368,TRUE
12844,61.155729,6.687186,2012,0.608941793441772,6.687186,61.155729,TRUE
12845,61.170444,6.654512,2012,1.75574445724487,6.654512,61.170444,TRUE
