"ID","Year_HGU","Meantemp","Maxtemp","Buffer"
4164,2012,7.89718294143677,8.94177055358887,"0km"
4165,2012,7.89718294143677,8.94177055358887,"0km"
4166,2012,7.89718294143677,8.94177055358887,"0km"
4167,2012,7.89718294143677,8.94177055358887,"0km"
4168,2012,7.89718294143677,8.94177055358887,"0km"
4169,2012,7.75666231579251,9.80068365732829,"10km"
4170,2012,7.75666231579251,9.80068365732829,"10km"
4171,2012,7.75666231579251,9.80068365732829,"10km"
4172,2012,7.75666231579251,9.80068365732829,"10km"
4173,2012,7.75666231579251,9.80068365732829,"10km"
4174,2012,7.75666231579251,9.80068365732829,"10km"
4175,2012,7.75666231579251,9.80068365732829,"10km"
4176,2012,7.75666231579251,9.80068365732829,"10km"
4177,2012,7.75666231579251,9.80068365732829,"10km"
4178,2012,7.75666231579251,9.80068365732829,"10km"
4179,2012,7.75666231579251,9.80068365732829,"10km"
4180,2009,7.92373418807983,11.210883140564,"0km"
4181,2010,6.28470706939697,7.51277208328247,"0km"
4182,2010,6.28470706939697,7.51277208328247,"0km"
4183,2010,6.28470706939697,7.51277208328247,"0km"
4184,2010,6.28470706939697,7.51277208328247,"0km"
4185,2010,6.28470706939697,7.51277208328247,"0km"
4186,2010,6.28470706939697,7.51277208328247,"0km"
4187,2010,6.28470706939697,7.51277208328247,"0km"
4188,2010,6.28470706939697,7.51277208328247,"0km"
4189,2010,7.28974294662476,10.1195411682129,"0km"
4190,2010,7.28974294662476,10.1195411682129,"0km"
4191,2010,7.28974294662476,10.1195411682129,"0km"
4192,2010,7.28974294662476,10.1195411682129,"0km"
4193,2010,7.28974294662476,10.1195411682129,"0km"
4194,2010,7.28974294662476,10.1195411682129,"0km"
4195,2010,7.28974294662476,10.1195411682129,"0km"
4196,2010,7.28974294662476,10.1195411682129,"0km"
4197,2010,7.28974294662476,10.1195411682129,"0km"
4198,2010,7.28974294662476,10.1195411682129,"0km"
4199,2010,7.28974294662476,10.1195411682129,"0km"
4200,2010,7.28974294662476,10.1195411682129,"0km"
4201,2010,7.28974294662476,10.1195411682129,"0km"
4202,2010,7.28974294662476,10.1195411682129,"0km"
4203,2010,7.28974294662476,10.1195411682129,"0km"
4204,2010,7.28974294662476,10.1195411682129,"0km"
4205,2010,7.28974294662476,10.1195411682129,"0km"
4206,2010,7.28974294662476,10.1195411682129,"0km"
4207,2010,7.28974294662476,10.1195411682129,"0km"
4208,2010,7.28974294662476,10.1195411682129,"0km"
4209,2010,7.28974294662476,10.1195411682129,"0km"
4210,2010,7.28974294662476,10.1195411682129,"0km"
4211,2010,7.28974294662476,10.1195411682129,"0km"
4212,2010,7.28974294662476,10.1195411682129,"0km"
4213,2010,7.28974294662476,10.1195411682129,"0km"
4214,2010,7.28974294662476,10.1195411682129,"0km"
4215,2005,8.37180709838867,9.91811847686768,"0km"
4216,2005,8.37180709838867,9.91811847686768,"0km"
4217,2005,8.37180709838867,9.91811847686768,"0km"
4218,2005,8.37180709838867,9.91811847686768,"0km"
4219,2005,8.37180709838867,9.91811847686768,"0km"
4220,2005,8.37180709838867,9.91811847686768,"0km"
4221,2005,8.37180709838867,9.91811847686768,"0km"
